id,title,singer,hardness,depth,brightness,roughness,warmth,sharpness,boominess,reverb,release,genre,hardness_norm,depth_norm,brightness_norm,roughness_norm,warmth_norm,sharpness_norm,boominess_norm
ZEG4RDZyjzE,아시나요,조성모,51.7591152495583,36.7560169979334,66.1978357817665,43.7885578383702,40.943217261794295,51.767675356019495,19.659248006502,1.0,2000.09.01,발라드,0.5166106314058025,0.3652600845081717,0.7290990763699429,0.5740670407118664,0.36740546645801997,0.6416581989758876,0.44481968909781355
Ph5bnQSgQDQ,다 줄거야 (Acoustic Ver.),조규만,53.1777171280494,41.1677360323686,63.6732176799959,44.8950786019555,42.7425865569673,50.922668870015,25.0726629355085,0.0,2000.01.01,발라드,0.6023787622459013,0.49459558833482486,0.5970277682732663,0.6072769973084247,0.4528967251216601,0.6048806916701901,0.5817890514679814
cENP3aul9lQ,Run To You,DJ DOC,54.6988058911271,28.346009576662002,64.4428664456754,51.1365409765979,39.8253734397557,46.6723113428821,11.070213546764698,0.0,2000.05.16,"댄스, 랩/힙합",0.6943432112073088,0.11870935484338478,0.6372906972235877,0.7946017194305036,0.3142947039303836,0.419890922248319,0.22750130712380817
hn6AzhRYf1E,거짓말,god,54.2102472064567,40.3390797444506,63.4906248566205,44.1886056009126,44.517562539712,50.4528176320743,24.0025566838045,0.0,2000.11.03,발라드,0.6648051386689815,0.47030240972112386,0.5874757203752726,0.5860736557414263,0.5372290138128413,0.5844311949832933,0.5547133935170534
kS4e7J_bpTg,초련(初戀) (Techno Mix) (Feat. 윤진),클론,,,,,,,,,2000.04.06,댄스,,,,,,,
POu_1kHWNC8,가시나무,조성모,48.61105276360414,48.13294116170874,55.9735140161592,39.90309320078314,46.52498948566611,40.50433239994227,27.89342325882329,0.0,2000.01.27,발라드,0.3262799690248168,0.6987899868510768,0.1942302385690733,0.4574527699108089,0.6326054641864839,0.15143985779796684,0.6531594799221702
v2j9WCHVG8A,흔들린 우정,홍경민,56.04867920263614,36.657200983617074,65.87963075811282,55.89474687270986,40.99522588369225,49.08593657275375,17.800429646394807,1.0,2000.06.18,댄스,0.7759560389882854,0.36236315954581855,0.7124526957995903,0.9374095333348337,0.3698764892543659,0.5249399615101887,0.3977881629937229
uVyVAumtsoc,나의 연인(我戀),임창정,53.318170397327656,32.31046555766171,66.17831525214615,43.210554757452535,37.50698568700694,54.82778170274963,15.16898368137419,0.0,2000.02.10,발라드,0.6108705135674136,0.23493273799607645,0.7280778914707727,0.5567194609269588,0.2041439485604006,0.7748442577660688,0.33120773628208106
CbxynFLoxro,영원,스카이,54.3930489825229,37.38586405522969,67.07299748340036,48.40326558297596,39.811162456778455,56.61865601136726,17.13838633416853,0.0,1999.11.16,"발라드, 록/메탈",0.6758572646284683,0.38372490193043063,0.7748817437166732,0.712568051219425,0.3136195146711073,0.8527890949473782,0.3810372485476157
N7VBSaZ-jKQ,멍,김현정,53.50035953831632,26.486804842091278,66.89063492386032,50.06746762828382,36.93895820654783,51.005135118013726,9.17931829962198,0.0,2000.05.22,댄스,0.621885599842769,0.06420425622180224,0.76534174169838,0.7625156703797746,0.17715594538047724,0.6084698984851428,0.17965817673264653
PedYhWdjYGk,오! 가니,컨츄리 꼬꼬,54.11461041196537,31.909417531191288,65.07401045407238,49.095984219260146,41.61419178555876,49.92305543867238,15.074669389943526,0.0,2000.06.12,댄스,0.6590229743934172,0.22317547327514276,0.6703079740655415,0.7333585836718705,0.3992846680881364,0.5613741732197729,0.3288214111011988
aNQifYGRcU0,기도,정일영,49.48184461578981,40.336199041914696,61.728959000160025,42.123936479785435,45.83886154966535,48.73851998048663,23.17493266604703,1.0,2000.10,"발라드, 국내드라마",0.37892771371284184,0.47021795803438954,0.495317023608894,0.5241068367214939,0.6000062967946946,0.5098192299278317,0.5337729824306856
QI9K6sXLeqo,전설속의 누군가처럼,신승훈,52.3534732774323,34.782312741649896,63.5467071910238,45.68366330987381,42.75180899870914,47.917626251840716,15.434456028896179,0.0,2000.03.07,발라드,0.5525452920554713,0.3073982777161358,0.5904095768902696,0.6309447537433069,0.4533348998502037,0.4740911904364096,0.33792467533882387
I6sd5vAxkkg,너를 위해,임재범,53.73503225372711,34.40498614949776,65.8567505118899,49.72539686259231,40.10515103688749,53.06538011287935,17.329299594336685,1.0,2000.05.16,발라드,0.6360738230963311,0.2963364388904368,0.7112557527664572,0.7522491162802765,0.32758743877300295,0.6981386484949438,0.3858677054507301
QhsVimBs5ZY,바보,박효신,51.26964515436853,36.17726283537204,65.66376436820185,47.88316298167247,41.54005329129984,49.768099257403954,17.91851803022906,1.0,1999.12,R&B/Soul,0.48701745533359514,0.34829312432272347,0.7011599951453192,0.696958235856286,0.395762215411732,0.5546299621597974,0.40077601647423733
IWMfoD8cJ-c,그대가 그대를,이승환,51.461709771202834,37.06576808101325,66.19337899225081,48.88339485944842,41.41948309229507,49.03508834228293,21.077754623936414,0.0,2003.03.12,발라드,0.49862960912823084,0.3743408559893758,0.7288659266429266,0.7269781490297209,0.39003370926355263,0.522726876523747,0.480710517614724
mXTRiFz36d0,매직 카펫 라이드,자우림,56.46052914729171,26.083138270511327,70.93068115321141,55.01715095464303,34.60720332692594,56.42187297402817,6.5693029541014925,0.0,2000.07.04,록/메탈,0.8008563302365096,0.052370225313268993,0.9766902184867033,0.9110702875588373,0.0663700938664365,0.844224439275212,0.11361998414246506
